 5.25000000e-02  1.07574775e+00  5.25000000e-02  1.72425148e+00  5.25000000e-02 -6.48503734e-01 
 5.50000000e-02  1.06462808e+00  5.50000000e-02  1.73537114e+00  5.50000000e-02 -6.70743062e-01 
 5.75000000e-02  1.05418050e+00  5.75000000e-02  1.74581871e+00  5.75000000e-02 -6.91638202e-01 
 6.00000000e-02  1.04445464e+00  6.00000000e-02  1.75554456e+00  6.00000000e-02 -7.11089919e-01 
 6.25000000e-02  1.03550398e+00  6.25000000e-02  1.76449520e+00  6.25000000e-02 -7.28991215e-01 
 6.50000000e-02  1.02738654e+00  6.50000000e-02  1.77261263e+00  6.50000000e-02 -7.45226093e-01 
 6.75000000e-02  1.02016555e+00  6.75000000e-02  1.77983360e+00  6.75000000e-02 -7.59668054e-01 
 7.00000000e-02  1.01391044e+00  7.00000000e-02  1.78608870e+00  7.00000000e-02 -7.72178261e-01 
 7.25000000e-02  1.00869793e+00  7.25000000e-02  1.79130119e+00  7.25000000e-02 -7.82603264e-01 
 7.50000000e-02  1.00461348e+00  7.50000000e-02  1.79538561e+00  7.50000000e-02 -7.90772132e-01 
 7.75000000e-02  1.00175313e+00  7.75000000e-02  1.79824595e+00  7.75000000e-02 -7.96492819e-01 
 8.00000000e-02  1.00022580e+00  8.00000000e-02  1.79977326e+00  8.00000000e-02 -7.99547457e-01 
 8.25000000e-02  9.99999107e-01  8.25000000e-02  1.79999993e+00  8.25000000e-02 -8.00000821e-01 
 8.50000000e-02  9.99999084e-01  8.50000000e-02  1.79999993e+00  8.50000000e-02 -8.00000844e-01 
 8.75000000e-02  9.99999061e-01  8.75000000e-02  1.79999993e+00  8.75000000e-02 -8.00000866e-01 
 9.00000000e-02  9.99999038e-01  9.00000000e-02  1.79999993e+00  9.00000000e-02 -8.00000889e-01 
 9.25000000e-02  9.99999016e-01  9.25000000e-02  1.79999993e+00  9.25000000e-02 -8.00000912e-01 
 9.50000000e-02  9.99998993e-01  9.50000000e-02  1.79999993e+00  9.50000000e-02 -8.00000935e-01 
 9.75000000e-02  9.99998970e-01  9.75000000e-02  1.79999993e+00  9.75000000e-02 -8.00000957e-01 
 1.00000000e-01  9.99998947e-01  1.00000000e-01  1.79999993e+00  1.00000000e-01 -8.00000980e-01 
 1.02500000e-01  9.99998925e-01  1.02500000e-01  1.79999993e+00  1.02500000e-01 -8.00001003e-01 
 1.05000000e-01  9.99998902e-01  1.05000000e-01  1.79999993e+00  1.05000000e-01 -8.00001026e-01 
 1.07500000e-01  9.99998879e-01  1.07500000e-01  1.79999993e+00  1.07500000e-01 -8.00001048e-01 
 1.10000000e-01  9.99998857e-01  1.10000000e-01  1.79999993e+00  1.10000000e-01 -8.00001071e-01 
 1.12500000e-01  9.99998834e-01  1.12500000e-01  1.79999993e+00  1.12500000e-01 -8.00001094e-01 
 1.15000000e-01  9.99998811e-01  1.15000000e-01  1.79999993e+00  1.15000000e-01 -8.00001117e-01 
 1.17500000e-01  9.99998788e-01  1.17500000e-01  1.79999993e+00  1.17500000e-01 -8.00001139e-01 
 1.20000000e-01  9.99998766e-01  1.20000000e-01  1.79999993e+00  1.20000000e-01 -8.00001162e-01 
 1.22500000e-01  9.99998743e-01  1.22500000e-01  1.79999993e+00  1.22500000e-01 -8.00001185e-01 
 1.25000000e-01  9.99998720e-01  1.25000000e-01  1.79999993e+00  1.25000000e-01 -8.00001207e-01 
 1.27500000e-01  9.99998697e-01  1.27500000e-01  1.79999993e+00  1.27500000e-01 -8.00001230e-01 
 1.30000000e-01  9.99998675e-01  1.30000000e-01  1.79999993e+00  1.30000000e-01 -8.00001253e-01 
 1.32500000e-01  9.99998652e-01  1.32500000e-01  1.79999993e+00  1.32500000e-01 -8.00001276e-01 
